"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_657"	"ELF_318"	"ELF_165"	"1"	"2011"
"ELF_658"	"ELF_149"	"M0009"	"1"	"2011"
"ELF_659"	"ELF_185"	"M0039"	"2"	"*"
"ELF_66"	"*"	"*"	"1"	"2002"
"ELF_660"	"ELF_359"	"M0036"	"1"	"2005"
"ELF_661"	"ELF_64"	"ELF_179"	"1"	"2009"
"ELF_662"	"F0003"	"ELF_62"	"1"	"*"
"ELF_663"	"ELF_344"	"M0030"	"2"	"2013"
"ELF_664"	"ELF_394"	"M0002"	"1"	"2013"
"ELF_665"	"ELF_166"	"ELF_150"	"1"	"2011"
